schema_name,owner,object_type,acl
auth,supabase_auth_admin,functions,"{postgres=X/supabase_auth_admin,dashboard_user=X/supabase_auth_admin}"
auth,supabase_auth_admin,sequences,"{postgres=rwU/supabase_auth_admin,dashboard_user=rwU/supabase_auth_admin}"
auth,supabase_auth_admin,tables,"{postgres=arwdDxtm/supabase_auth_admin,dashboard_user=arwdDxtm/supabase_auth_admin}"
extensions,supabase_admin,functions,{postgres=X*/supabase_admin}
extensions,supabase_admin,sequences,{postgres=r*w*U*/supabase_admin}
extensions,supabase_admin,tables,{postgres=a*r*w*d*D*x*t*m*/supabase_admin}
graphql,supabase_admin,functions,"{postgres=X/supabase_admin,anon=X/supabase_admin,authenticated=X/supabase_admin,service_role=X/supabase_admin}"
graphql,supabase_admin,sequences,"{postgres=rwU/supabase_admin,anon=rwU/supabase_admin,authenticated=rwU/supabase_admin,service_role=rwU/supabase_admin}"
graphql,supabase_admin,tables,"{postgres=arwdDxtm/supabase_admin,anon=arwdDxtm/supabase_admin,authenticated=arwdDxtm/supabase_admin,service_role=arwdDxtm/supabase_admin}"
graphql_public,supabase_admin,functions,"{postgres=X/supabase_admin,anon=X/supabase_admin,authenticated=X/supabase_admin,service_role=X/supabase_admin}"
graphql_public,supabase_admin,sequences,"{postgres=rwU/supabase_admin,anon=rwU/supabase_admin,authenticated=rwU/supabase_admin,service_role=rwU/supabase_admin}"
graphql_public,supabase_admin,tables,"{postgres=arwdDxtm/supabase_admin,anon=arwdDxtm/supabase_admin,authenticated=arwdDxtm/supabase_admin,service_role=arwdDxtm/supabase_admin}"
public,postgres,functions,"{postgres=X/postgres,service_role=X/postgres}"
public,postgres,sequences,"{postgres=rwU/postgres,service_role=rwU/postgres}"
public,postgres,tables,"{postgres=arwdDxtm/postgres,service_role=arwdDxtm/postgres}"
public,supabase_admin,functions,"{postgres=X/supabase_admin,anon=X/supabase_admin,authenticated=X/supabase_admin,service_role=X/supabase_admin}"
public,supabase_admin,sequences,"{postgres=rwU/supabase_admin,anon=rwU/supabase_admin,authenticated=rwU/supabase_admin,service_role=rwU/supabase_admin}"
public,supabase_admin,tables,"{postgres=arwdDxtm/supabase_admin,anon=arwdDxtm/supabase_admin,authenticated=arwdDxtm/supabase_admin,service_role=arwdDxtm/supabase_admin}"
realtime,supabase_admin,functions,"{postgres=X/supabase_admin,dashboard_user=X/supabase_admin}"
realtime,supabase_admin,sequences,"{postgres=rwU/supabase_admin,dashboard_user=rwU/supabase_admin}"
realtime,supabase_admin,tables,"{postgres=arwdDxtm/supabase_admin,dashboard_user=arwdDxtm/supabase_admin}"
storage,postgres,functions,"{postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}"
storage,postgres,sequences,"{postgres=rwU/postgres,anon=rwU/postgres,authenticated=rwU/postgres,service_role=rwU/postgres}"
storage,postgres,tables,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres}"
supabase_functions,supabase_admin,functions,"{postgres=X/supabase_admin,anon=X/supabase_admin,authenticated=X/supabase_admin,service_role=X/supabase_admin}"
supabase_functions,supabase_admin,sequences,"{postgres=rwU/supabase_admin,anon=rwU/supabase_admin,authenticated=rwU/supabase_admin,service_role=rwU/supabase_admin}"
supabase_functions,supabase_admin,tables,"{postgres=arwdDxtm/supabase_admin,anon=arwdDxtm/supabase_admin,authenticated=arwdDxtm/supabase_admin,service_role=arwdDxtm/supabase_admin}"