object_type,schema_name,grantee,privilege_type,grant_count,object_count
column,extensions,PUBLIC,SELECT,51,51
column,net,PUBLIC,INSERT,14,14
column,net,PUBLIC,REFERENCES,14,14
column,net,PUBLIC,SELECT,14,14
column,net,PUBLIC,UPDATE,14,14
column,public,anon,INSERT,269,269
column,public,anon,SELECT,262,262
column,public,anon,UPDATE,269,269
column,public,authenticated,INSERT,269,269
column,public,authenticated,SELECT,309,309
column,public,authenticated,UPDATE,269,269
column,public,service_role,INSERT,322,322
column,public,service_role,REFERENCES,322,322
column,public,service_role,SELECT,322,322
column,public,service_role,UPDATE,322,322
column,realtime,anon,INSERT,8,8
column,realtime,anon,SELECT,17,17
column,realtime,anon,UPDATE,8,8
column,realtime,authenticated,INSERT,8,8
column,realtime,authenticated,SELECT,17,17
column,realtime,authenticated,UPDATE,8,8
column,realtime,service_role,INSERT,8,8
column,realtime,service_role,SELECT,17,17
column,realtime,service_role,UPDATE,8,8
column,storage,anon,INSERT,36,36
column,storage,anon,REFERENCES,36,36
column,storage,anon,SELECT,86,86
column,storage,anon,UPDATE,36,36
column,storage,authenticated,INSERT,36,36
column,storage,authenticated,REFERENCES,36,36
column,storage,authenticated,SELECT,86,86
column,storage,authenticated,UPDATE,36,36
column,storage,service_role,INSERT,73,73
column,storage,service_role,REFERENCES,73,73
column,storage,service_role,SELECT,86,86
column,storage,service_role,UPDATE,73,73
column,supabase_functions,anon,INSERT,7,7
column,supabase_functions,anon,REFERENCES,7,7
column,supabase_functions,anon,SELECT,7,7
column,supabase_functions,anon,UPDATE,7,7
column,supabase_functions,authenticated,INSERT,7,7
column,supabase_functions,authenticated,REFERENCES,7,7
column,supabase_functions,authenticated,SELECT,7,7
column,supabase_functions,authenticated,UPDATE,7,7
column,supabase_functions,service_role,INSERT,7,7
column,supabase_functions,service_role,REFERENCES,7,7
column,supabase_functions,service_role,SELECT,7,7
column,supabase_functions,service_role,UPDATE,7,7
column,vault,service_role,SELECT,17,17
schema,auth,anon,USAGE,1,0
schema,auth,authenticated,USAGE,1,0
schema,auth,service_role,USAGE,1,0
schema,extensions,anon,USAGE,1,0
schema,extensions,authenticated,USAGE,1,0
schema,extensions,service_role,USAGE,1,0
schema,graphql,anon,USAGE,1,0
schema,graphql,authenticated,USAGE,1,0
schema,graphql,service_role,USAGE,1,0
schema,graphql_public,anon,USAGE,1,0
schema,graphql_public,authenticated,USAGE,1,0
schema,graphql_public,service_role,USAGE,1,0
schema,net,PUBLIC,USAGE,1,0
schema,net,anon,USAGE,1,0
schema,net,authenticated,USAGE,1,0
schema,net,service_role,USAGE,1,0
schema,public,PUBLIC,USAGE,1,0
schema,public,anon,USAGE,1,0
schema,public,authenticated,USAGE,1,0
schema,public,service_role,USAGE,1,0
schema,realtime,anon,USAGE,1,0
schema,realtime,authenticated,USAGE,1,0
schema,realtime,service_role,USAGE,1,0
schema,storage,anon,USAGE,1,0
schema,storage,authenticated,USAGE,1,0
schema,storage,service_role,USAGE,1,0
schema,supabase_functions,anon,USAGE,1,0
schema,supabase_functions,authenticated,USAGE,1,0
schema,supabase_functions,service_role,USAGE,1,0
schema,vault,service_role,USAGE,1,0
sequence,graphql,anon,SELECT,1,1
sequence,graphql,anon,UPDATE,1,1
sequence,graphql,anon,USAGE,1,1
sequence,graphql,authenticated,SELECT,1,1
sequence,graphql,authenticated,UPDATE,1,1
sequence,graphql,authenticated,USAGE,1,1
sequence,graphql,service_role,SELECT,1,1
sequence,graphql,service_role,UPDATE,1,1
sequence,graphql,service_role,USAGE,1,1
sequence,net,PUBLIC,SELECT,1,1
sequence,net,PUBLIC,UPDATE,1,1
sequence,net,PUBLIC,USAGE,1,1
sequence,public,anon,SELECT,1,1
sequence,public,anon,USAGE,1,1
sequence,public,authenticated,SELECT,1,1
sequence,public,authenticated,USAGE,1,1
sequence,public,service_role,SELECT,1,1
sequence,public,service_role,UPDATE,1,1
sequence,public,service_role,USAGE,1,1
sequence,realtime,anon,USAGE,1,1
sequence,realtime,authenticated,USAGE,1,1
sequence,realtime,service_role,USAGE,1,1
sequence,supabase_functions,anon,SELECT,1,1
sequence,supabase_functions,anon,UPDATE,1,1
sequence,supabase_functions,anon,USAGE,1,1
sequence,supabase_functions,authenticated,SELECT,1,1
sequence,supabase_functions,authenticated,UPDATE,1,1
sequence,supabase_functions,authenticated,USAGE,1,1
sequence,supabase_functions,service_role,SELECT,1,1
sequence,supabase_functions,service_role,UPDATE,1,1
sequence,supabase_functions,service_role,USAGE,1,1
table,extensions,PUBLIC,SELECT,2,2
table,net,PUBLIC,DELETE,2,2
table,net,PUBLIC,INSERT,2,2
table,net,PUBLIC,REFERENCES,2,2
table,net,PUBLIC,SELECT,2,2
table,net,PUBLIC,TRIGGER,2,2
table,net,PUBLIC,TRUNCATE,2,2
table,net,PUBLIC,UPDATE,2,2
table,public,anon,DELETE,27,27
table,public,anon,INSERT,27,27
table,public,anon,SELECT,27,27
table,public,anon,UPDATE,27,27
table,public,authenticated,DELETE,27,27
table,public,authenticated,INSERT,27,27
table,public,authenticated,SELECT,33,33
table,public,authenticated,UPDATE,27,27
table,public,service_role,DELETE,37,37
table,public,service_role,INSERT,37,37
table,public,service_role,REFERENCES,37,37
table,public,service_role,SELECT,37,37
table,public,service_role,TRIGGER,37,37
table,public,service_role,TRUNCATE,37,37
table,public,service_role,UPDATE,37,37
table,realtime,anon,INSERT,1,1
table,realtime,anon,SELECT,3,3
table,realtime,anon,UPDATE,1,1
table,realtime,authenticated,INSERT,1,1
table,realtime,authenticated,SELECT,3,3
table,realtime,authenticated,UPDATE,1,1
table,realtime,service_role,INSERT,1,1
table,realtime,service_role,SELECT,3,3
table,realtime,service_role,UPDATE,1,1
table,storage,anon,DELETE,4,4
table,storage,anon,INSERT,4,4
table,storage,anon,REFERENCES,4,4
table,storage,anon,SELECT,10,10
table,storage,anon,TRIGGER,4,4
table,storage,anon,TRUNCATE,4,4
table,storage,anon,UPDATE,4,4
table,storage,authenticated,DELETE,4,4
table,storage,authenticated,INSERT,4,4
table,storage,authenticated,REFERENCES,4,4
table,storage,authenticated,SELECT,10,10
table,storage,authenticated,TRIGGER,4,4
table,storage,authenticated,TRUNCATE,4,4
table,storage,authenticated,UPDATE,4,4
table,storage,service_role,DELETE,8,8
table,storage,service_role,INSERT,8,8
table,storage,service_role,REFERENCES,8,8
table,storage,service_role,SELECT,10,10
table,storage,service_role,TRIGGER,8,8
table,storage,service_role,TRUNCATE,8,8
table,storage,service_role,UPDATE,8,8
table,supabase_functions,anon,DELETE,2,2
table,supabase_functions,anon,INSERT,2,2
table,supabase_functions,anon,REFERENCES,2,2
table,supabase_functions,anon,SELECT,2,2
table,supabase_functions,anon,TRIGGER,2,2
table,supabase_functions,anon,TRUNCATE,2,2
table,supabase_functions,anon,UPDATE,2,2
table,supabase_functions,authenticated,DELETE,2,2
table,supabase_functions,authenticated,INSERT,2,2
table,supabase_functions,authenticated,REFERENCES,2,2
table,supabase_functions,authenticated,SELECT,2,2
table,supabase_functions,authenticated,TRIGGER,2,2
table,supabase_functions,authenticated,TRUNCATE,2,2
table,supabase_functions,authenticated,UPDATE,2,2
table,supabase_functions,service_role,DELETE,2,2
table,supabase_functions,service_role,INSERT,2,2
table,supabase_functions,service_role,REFERENCES,2,2
table,supabase_functions,service_role,SELECT,2,2
table,supabase_functions,service_role,TRIGGER,2,2
table,supabase_functions,service_role,TRUNCATE,2,2
table,supabase_functions,service_role,UPDATE,2,2
table,vault,service_role,DELETE,2,2
table,vault,service_role,SELECT,2,2